activityFactor,totalCorrect,totalIntrusors
content,15,3
general,12,3
rereading,6,5
content,12,3
content,14,3
rereading,14,4
rereading,9,4
general,5,4
general,14,4
general,13,3
general,14,4
general,8,6
content,12,3
rereading,16,3
rereading,10,6
rereading,11,8
rereading,8,5
content,18,1
content,13,3
content,10,3
rereading,10,4
rereading,8,6
general,14,2
general,10,1
general,11,4
content,14,5
rereading,14,4
general,7,7
content,12,4
content,12,6
content,9,4
content,15,2
rereading,10,6
content,7,6
general,14,2
general,13,4
general,12,2
general,10,3
content,17,3
general,7,7
content,12,2
rereading,11,5
rereading,6,6
rereading,14,1
general,13,4
rereading,4,10
rereading,7,9
content,19,0
content,10,5
rereading,10,2
general,6,5
rereading,10,6
rereading,15,2
rereading,9,6
content,16,3
general,14,5
general,9,5
rereading,12,4
rereading,14,3
general,8,5
general,16,2
rereading,9,6
content,10,5
rereading,12,3
content,12,5
content,16,2
general,13,4
rereading,11,5
general,13,4
content,12,4
general,13,3
general,10,4
general,10,5
general,10,5
rereading,13,2
general,11,5
content,9,7
content,11,5
rereading,10,3
rereading,11,1
rereading,10,7
content,7,5
rereading,13,7
rereading,12,2
general,8,6
general,9,7
content,14,2
content,12,3
content,14,4
content,16,3
rereading,13,4
general,8,5
general,10,5
rereading,13,5
rereading,8,8
rereading,17,1
rereading,13,5
general,9,3
rereading,12,5
content,15,0
content,11,3
content,14,3
content,15,2
content,18,1
rereading,11,2
content,14,2
general,11,9
general,10,8
general,8,7
content,10,2
rereading,8,7
general,9,3
content,14,3
general,5,7
content,12,3
content,9,5
general,15,4
content,10,5
rereading,11,3
content,17,2
content,8,7
general,7,7
